Id,Name,name_ku,name_ar,Description,description_ku,description_ar,CategoryId,SubCategoryId,Price,Discount,DiscountType,StoreId,ModuleId,Image,Images,UnitId,Stock,AvailableTimeStarts,AvailableTimeEnds,Variations,ChoiceOptions,AddOns,Attributes,Status,Veg,Recommended
1,Kurdish Kabab Platter,قاپی کوردی تێكەلاو,كباب كردي مشكل,Traditional Kurdish mixed kabab served with grilled vegetables and basmati rice,كاباب گوشتی کوردی نەتەوایەتی لەگەل سەوزە برژاو و برنجی باسماتی,كباب كردي تقليدي مشكل مع الخضار المشوية والأرز البسمتي,1,2,28500,15,percent,1,1,kurdish_kabab.jpg,"[""kabab1.jpg"",""kabab2.jpg""]",1,35,11:00:00,23:00:00,"[{""name"":""Size"",""options"":[""Regular"",""Large""]}]","[]","[1,2,3]","[]",active,no,yes
2,Arabic Shawarma Wrap,شاورمای عەرەبی,شاورما عربية,Authentic Arabic chicken shawarma wrapped in fresh Lebanese bread with tahini sauce,شاورمای مریشک عەرەبی ڕاستەقینە لە نانی لوبنانی تازە پێچراوەتەوە لەگەل سۆسی تاهینی,شاورما دجاج عربية أصيلة ملفوفة في خبز لبناني طازج مع صوص الطحينة,3,4,15000,10,percent,1,1,shawarma_wrap.jpg,"[""shawarma1.jpg""]",1,80,10:00:00,24:00:00,"[{""name"":""Meat Type"",""options"":[""Chicken"",""Beef"",""Mixed""]}]","[]","[4,5,6]","[]",active,no,yes
3,Kurdish Dolma Special,دۆلمەی کوردی تایبەت,دولمة كردية خاصة,Traditional Kurdish grape leaves stuffed with rice herbs and spices,گەڵای مێو پڕ لە برنج و ڕووەک و بەهارات بە شێوەی کوردی,ورق عنب كردي محشي بالأرز والأعشاب والتوابل,5,6,18000,5,percent,1,1,kurdish_dolma.jpg,"[""dolma1.jpg"",""dolma2.jpg""]",2,60,09:00:00,22:00:00,"[]","[]","[7,8]","[]",active,yes,yes
4,Iraqi Masgouf Fish,ماسگوفی عێراقی,مسگوف عراقي,Grilled Iraqi carp fish with traditional spices served with Iraqi bread and pickles,ماسی کارپی عێراقی برژاو لەگەل بەهاراتی نەتەوایەتی لەگەل نانی عێراقی و تورشی,سمك كارب عراقي مشوي مع التوابل التقليدية يقدم مع الخبز العراقي والمخللات,8,9,45000,20,percent,1,1,masgouf_fish.jpg,"[""masgouf1.jpg"",""masgouf2.jpg"",""masgouf3.jpg""]",1,15,12:00:00,23:30:00,"[{""name"":""Size"",""options"":[""Medium"",""Large"",""Family""]}]","[]","[9,10,11]","[]",active,no,yes
5,Turkish Baklava,باکلاوای تورکی,بقلاوة تركية,Layers of phyllo pastry with honey and mixed nuts Turkish style,چین چینی هەویری فیلۆ لەگەل هەنگوین و گوێزی تێکەڵ بە شێوەی تورکی,طبقات من عجين الفيلو مع العسل والمكسرات المشكلة على الطريقة التركية,10,11,12000,8,percent,1,1,turkish_baklava.jpg,"[]",3,100,08:00:00,22:00:00,"[]","[]","[]","[]",active,yes,yes
6,Lebanese Hummus Bowl,هۆمسی لوبنانی,حمص لبناني,Creamy Lebanese chickpea dip served with olive oil pita bread and vegetables,هۆمسی نۆکی لوبنانی کرێمی لەگەل زەیتی زەیتوون و نان و سەوزە,غموس حمص لبناني كريمي يقدم مع زيت الزيتون والخبز والخضار,12,13,8500,0,percent,1,1,lebanese_hummus.jpg,"[""hummus1.jpg""]",2,150,07:00:00,23:00:00,"[{""name"":""Portion"",""options"":[""Small"",""Medium"",""Large""]}]","[]","[12,13]","[]",active,yes,no
7,Persian Rice Jeweled,برنجی فارسی گۆهەردار,أرز فارسي بالجواهر,Aromatic Persian basmati rice with saffron dried fruits and nuts,برنجی باسماتی فارسی بۆنخۆش لەگەل زەعفەران و میوەی وشککراو و گوێز,أرز بسمتي فارسي عطري مع الزعفران والفواكه المجففة والمكسرات,14,15,22000,12,percent,1,1,persian_rice.jpg,"[""rice1.jpg"",""rice2.jpg""]",2,45,11:30:00,22:00:00,"[]","[]","[14,15]","[]",active,yes,yes
8,Moroccan Tagine,طاجين مغربي,تاژینی مەغریبی,Traditional Moroccan slow-cooked stew with lamb vegetables and exotic spices,يخنة مغربية تقليدية مطبوخة ببطء مع لحم الضأن والخضار والتوابل الغريبة,خوراکی مەغریبی نەتەوایەتی لەسەر ئاگری کەم لەگەل گوشتی بەرخ و سەوزە و بەهاراتی نامۆ,16,17,35000,15,percent,1,1,moroccan_tagine.jpg,"[""tagine1.jpg"",""tagine2.jpg""]",1,20,13:00:00,22:30:00,"[{""name"":""Meat"",""options"":[""Lamb"",""Chicken"",""Vegetarian""]}]","[]","[16,17,18]","[]",active,no,yes
9,Syrian Kibbeh,كبة شامية,کبەی شامی,Traditional Syrian bulgur croquettes filled with spiced meat and onions,كروكيت برغل شامي تقليدي محشو باللحم المتبل والبصل,کڕۆکێتی بورگولی شامی نەتەوایەتی پڕ لە گوشتی بەهاراتدار و پیاز,18,19,16500,7,percent,1,1,syrian_kibbeh.jpg,"[]",2,70,09:30:00,21:30:00,"[]","[]","[19,20]","[]",active,no,no
10,Kurdish Honey Cake,كعكة كردية بالعسل,کێکی کوردی بە هەنگوین,Traditional Kurdish sponge cake soaked in honey syrup with walnuts,كعكة إسفنجية كردية تقليدية منقوعة في شراب العسل مع الجوز,کێکی ئیسفەنجی کوردی نەتەوایەتی تێر لە شەربەتی هەنگوین لەگەل گوێز,20,21,14000,10,percent,1,1,kurdish_honey_cake.jpg,"[""cake1.jpg""]",3,90,06:00:00,23:00:00,"[{""name"":""Size"",""options"":[""Personal"",""Medium"",""Large""]}]","[]","[]","[]",active,yes,yes
